sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos
5996,HP/KUL/53E06/2016/87,31.649819,77.376705,5996 HP/KUL/53E06/2016/87 Himachal Pradesh Kullu Shail 31.649819 77.376705 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
5997,HP/KUL/53E06/2016/17,31.650968,77.337406,"5997 HP/KUL/53E06/2016/17 Himachal Pradesh Kullu Paniali, NH 305 31.650968 77.337406 Debris Subsidence 1996",2016.0,Himachal Pradesh,,,,Kullu,,,,445.0,424.0,,
5998,HP/MAN/53A14/2015/291,31.651689,76.880553,"5998 HP/MAN/53A14/2015/291 Himachal Pradesh Mandi Chachol,SH 32, milestone 12 31.651689 76.880553 Rock Slide NA",2015.0,Himachal Pradesh,,,Rock Slide,Mandi,,,,905.0,868.0,,
5999,HP/MAN/53E02/2015/187,31.652056,77.120889,5999 HP/MAN/53E02/2015/187 Himachal Pradesh Mandi Village road 31.652056 77.120889 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6000,HP/MAN/53E02/2015/188,31.652056,77.123333,6000 HP/MAN/53E02/2015/188 Himachal Pradesh Mandi Village road 31.652056 77.123333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6001,HP/MAN/53E02/2015/189,31.652056,77.123333,6001 HP/MAN/53E02/2015/189 Himachal Pradesh Mandi Village road 31.652056 77.123333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6002,HP/MAN/53E02/2015/190,31.652056,77.123333,6002 HP/MAN/53E02/2015/190 Himachal Pradesh Mandi Village road 31.652056 77.123333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6003,HP/MAN/53E02/2015/191,31.652056,77.123333,6003 HP/MAN/53E02/2015/191 Himachal Pradesh Mandi Village road 31.652056 77.123333 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6004,HP/MAN/53E02/2015/186,31.652778,77.113944,6004 HP/MAN/53E02/2015/186 Himachal Pradesh Mandi Village road 31.652778 77.113944 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6005,HP/KUL/53E06/2016/95,31.652992,77.30146,6005 HP/KUL/53E06/2016/95 Himachal Pradesh Kullu Khamirara 31.652992 77.30146 Rock Slide NA,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
