sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos,nearest_road_km,nearest_settlement_km,road_exposure_score,settlement_exposure_score,exposure_score,priority_score,priority_level
11523,KA/CHI/48O12/2017/7,13.059447,75.5541,11523 KA/CHI/48O12/2017/7 Karnataka Chikmagalur .5 km from Slide no. 06 MulahaliGutti road section 13.059447 75.5541 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,1042.2674560546875,18.817704130598912,119.65159694068292,131.0,128.0,0.8690497643207772,-0.4947246781129901,,,0,0,0.0,20.38584614148216,ROUTINE
11524,KA/CHI/48O12/2017/8,13.059447,75.5541,11524 KA/CHI/48O12/2017/8 Karnataka Chikmagalur 50m from Slide no. 07 MulahaliGutti road section 13.059447 75.5541 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,1042.2674560546875,18.817704130598912,119.65159694068292,131.0,128.0,0.8690497643207772,-0.4947246781129901,,,0,0,0.0,20.38584614148216,ROUTINE
11527,KA/DAK/48O08/2017/92,13.065758,75.435336,11527 KA/DAK/48O08/2017/92 Karnataka Dakshin Kannad North of Nadumane Kotighere Ujire (NH 73) 13.065758 75.435336 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,215.8912353515625,14.490501214002128,268.89358497762805,131.0,128.0,-0.999813556446645,-0.0193093849076362,,,0,0,0.0,15.69804298183564,ROUTINE
11528,KA/DAK/48O08/2017/91,13.066495,75.435351,11528 KA/DAK/48O08/2017/91 Karnataka Dakshin Kannad North of Nadumane Kotighere Ujire (NH 73) 13.066495 75.435351 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,218.5733795166016,15.025736660328183,241.43061231664373,131.0,128.0,-0.8782386083233543,-0.478222695875319,,,0,0,0.0,16.2778813820222,ROUTINE
11530,KA/DAK/48O08/2017/90,13.070123,75.445311,11530 KA/DAK/48O08/2017/90 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.070123 75.445311 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,373.639892578125,33.5066330353124,357.2626319759702,131.0,128.0,-0.047757911681122,0.9988589399268838,,,0,0,0.0,36.298852454921764,MONITOR
11531,KA/DAK/48O08/2017/88,13.074473,75.449953,11531 KA/DAK/48O08/2017/88 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.074473 75.449953 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,388.5358276367188,26.875306892753187,327.7743610034192,131.0,128.0,-0.5332548813762441,0.8459546273225342,,,0,0,0.0,29.11491580048262,MONITOR
11532,KA/DAK/48O08/2017/89,13.074591,75.449367,11532 KA/DAK/48O08/2017/89 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.074591 75.449367 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,367.5578002929688,15.296192290230016,344.4500639062263,131.0,128.0,-0.2680781258756938,0.9633971758454432,,,0,0,0.0,16.570874981082518,ROUTINE
11533,KA/DAK/48O08/2017/71,13.074781,75.457356,11533 KA/DAK/48O08/2017/71 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.074781 75.457356 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,536.4102783203125,19.480373826572425,166.64377329163358,131.0,128.0,0.2310046467740532,-0.9729526469303604,,,0,0,0.0,21.10373831212013,ROUTINE
11534,KA/DAK/48O08/2017/70,13.074956,75.456846,11534 KA/DAK/48O08/2017/70 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.074956 75.456846 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,545.8065185546875,14.58899498047258,229.17885019125376,131.0,128.0,-0.7567538044534937,-0.6536999919268497,,,0,0,0.0,15.80474456217863,ROUTINE
11535,KA/DAK/48O08/2017/72,13.075007,75.457789,11535 KA/DAK/48O08/2017/72 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075007 75.457789 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,538.546875,24.648804374575253,145.1656910508152,131.0,128.0,0.571205172870334,-0.8208073162966883,,,0,0,0.0,26.70287140578986,MONITOR
11536,KA/DAK/48O08/2017/75,13.075048,75.456283,11536 KA/DAK/48O08/2017/75 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075048 75.456283 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,526.49609375,19.38781182055472,262.66145056857965,131.0,128.0,-0.9918087271799272,-0.1277319407577151,,,0,0,0.0,21.00346280560095,ROUTINE
11537,KA/DAK/48O08/2017/73,13.075112,75.458339,11537 KA/DAK/48O08/2017/73 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075112 75.458339 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,526.4822998046875,20.756336313705308,160.0071217862735,131.0,128.0,0.3419033381887004,-0.9397351261581228,,,0,0,0.0,22.486031006514082,ROUTINE
11538,KA/DAK/48O08/2017/87,13.075209,75.450247,11538 KA/DAK/48O08/2017/87 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075209 75.450247 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,380.9077758789063,10.460418553122986,286.42128127940094,131.0,128.0,-0.9592090387354067,0.2826977538083684,,,0,0,0.0,11.332120099216567,ROUTINE
11539,KA/DAK/48O08/2017/84,13.075297,75.452491,11539 KA/DAK/48O08/2017/84 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075297 75.452491 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,445.6637878417969,24.386440976264907,318.6133321267637,131.0,128.0,-0.6611373044460801,0.7502649296546995,,,0,0,0.0,26.41864439095365,MONITOR
11540,KA/DAK/48O08/2017/74,13.075421,75.458686,11540 KA/DAK/48O08/2017/74 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075421 75.458686 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,551.3446044921875,29.35809591380833,152.8813899598822,131.0,128.0,0.4558340300807708,-0.8900647937202791,,,0,0,0.0,31.804603906625694,MONITOR
